registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919C,21-Feb-2026,XIY,07:24PM CST,SHA,09:26PM CST,Completed
B-919C,21-Feb-2026,SHA,03:13PM CST,XIY,05:42PM CST,Completed
B-919C,21-Feb-2026,ZUH,11:53AM CST,SHA,02:08PM CST,Completed
B-919C,21-Feb-2026,SHA,08:19AM CST,ZUH,11:08AM CST,Completed
B-919D,21-Feb-2026,SHA,08:28PM CST,TFU,11:38PM CST,Completed
B-919D,21-Feb-2026,TFU,04:52PM CST,SHA,07:28PM CST,Completed
B-919D,21-Feb-2026,SHA,12:16PM CST,TFU,03:28PM CST,Completed
B-919D,21-Feb-2026,TFU,08:54AM CST,SHA,11:22AM CST,Completed
B-919F,21-Feb-2026,SHA,09:17AM CST,XIY,12:09PM CST,Completed
B-919H,21-Feb-2026,CAN,06:22PM CST,SHA,08:35PM CST,Completed
B-919H,21-Feb-2026,SHA,02:40PM CST,CAN,04:55PM CST,Completed
B-919H,21-Feb-2026,PEK,10:52AM CST,SHA,01:05PM CST,Completed
B-919H,21-Feb-2026,SHA,07:34AM CST,PEK,09:42AM CST,Completed
B-657S,21-Feb-2026,PEK,06:27PM CST,SHA,08:45PM CST,Completed
B-657S,21-Feb-2026,SHA,02:26PM CST,PEK,05:17PM CST,Completed
B-657T,21-Feb-2026,ZUH,08:17PM CST,SHA,10:33PM CST,Completed
B-657T,21-Feb-2026,SHA,04:38PM CST,ZUH,07:28PM CST,Completed
B-657T,21-Feb-2026,WUH,12:08PM CST,SHA,01:40PM CST,Completed
B-657T,21-Feb-2026,SHA,09:25AM CST,WUH,11:28AM CST,Completed
B-658E,21-Feb-2026,TFU,07:23PM CST,SHA,09:53PM CST,Completed
B-658E,21-Feb-2026,SHA,02:32PM CST,TFU,05:48PM CST,Completed
B-658E,21-Feb-2026,XMN,10:36AM CST,SHA,12:27PM CST,Completed
B-658E,21-Feb-2026,SHA,07:53AM CST,XMN,09:41AM CST,Completed
B-658U,21-Feb-2026,PKX,07:19PM CST,SHA,09:24PM CST,Completed
B-658U,21-Feb-2026,SHA,03:27PM CST,PKX,05:42PM CST,Completed
B-658U,21-Feb-2026,XIY,11:46AM CST,SHA,02:10PM CST,Completed
B-658U,21-Feb-2026,SHA,08:13AM CST,XIY,10:47AM CST,Completed
B-658V,21-Feb-2026,XMN,07:28PM CST,TFU,10:34PM CST,Completed
B-658V,21-Feb-2026,TFU,03:49PM CST,XMN,06:15PM CST,Completed
B-658V,21-Feb-2026,XMN,11:36AM CST,TFU,02:45PM CST,Completed
B-658V,21-Feb-2026,TFU,08:15AM CST,XMN,10:54AM CST,Completed
B-659Z,21-Feb-2026,CKG,08:02PM CST,SHA,10:15PM CST,Completed
B-659Z,21-Feb-2026,SHA,03:32PM CST,CKG,06:26PM CST,Completed
B-659Z,21-Feb-2026,HKG,11:54AM HKT,SHA,02:12PM CST,Completed
B-659Z,21-Feb-2026,SHA,07:55AM CST,HKG,10:28AM HKT,Completed
B-65A0,21-Feb-2026,XIY,08:52PM CST,SHA,11:03PM CST,Completed
B-65A0,21-Feb-2026,SHA,05:16PM CST,XIY,07:50PM CST,Completed
B-65A0,21-Feb-2026,CKG,01:42PM CST,SHA,04:01PM CST,Completed
B-65A0,21-Feb-2026,SHA,09:52AM CST,CKG,12:43PM CST,Completed
B-65A0,21-Feb-2026,XIY,06:18AM CST,SHA,08:31AM CST,Completed
B-919X,21-Feb-2026,XIY,07:39PM CST,PEK,09:48PM CST,Completed
B-919X,21-Feb-2026,PEK,04:12PM CST,XIY,06:11PM CST,Completed
B-919X,21-Feb-2026,XIY,12:43PM CST,PEK,02:37PM CST,Completed
B-919X,21-Feb-2026,PEK,09:02AM CST,XIY,10:59AM CST,Completed
B-919Y,21-Feb-2026,CSX,08:52PM CST,PEK,11:02PM CST,Completed
B-919Y,21-Feb-2026,PEK,05:11PM CST,CSX,07:20PM CST,Completed
B-919Y,21-Feb-2026,CKG,01:36PM CST,PEK,03:48PM CST,Completed
B-919Y,21-Feb-2026,PEK,09:13AM CST,CKG,11:38AM CST,Completed
B-919Z,21-Feb-2026,WUH,11:32AM CST,PEK,01:26PM CST,Completed
B-919Z,21-Feb-2026,PEK,07:55AM CST,WUH,10:03AM CST,Completed
B-919J,21-Feb-2026,CAN,04:53PM CST,WUH,06:33PM CST,Completed
B-919J,21-Feb-2026,CAN,10:01AM CST,HGH,12:00PM CST,Completed
B-657J,21-Feb-2026,XIY,12:59PM CST,CAN,04:06PM CST,Completed
B-657J,21-Feb-2026,CAN,09:03AM CST,XIY,11:44AM CST,Completed
B-657X,21-Feb-2026,CAN,02:11PM CST,XIY,04:51PM CST,Completed
B-658H,21-Feb-2026,XIY,06:18PM CST,PEK,08:24PM CST,Completed
B-658H,21-Feb-2026,PEK,02:56PM CST,XIY,04:55PM CST,Completed
B-658H,21-Feb-2026,XIY,11:07AM CST,PEK,01:09PM CST,Completed
B-658H,21-Feb-2026,PEK,07:02AM CST,XIY,09:00AM CST,Completed
B-658J,21-Feb-2026,HGH,07:59PM CST,PEK,10:29PM CST,Completed
B-658J,21-Feb-2026,PEK,04:44PM CST,HGH,06:45PM CST,Completed
B-658J,21-Feb-2026,HGH,12:55PM CST,PEK,03:18PM CST,Completed
B-658J,21-Feb-2026,PEK,09:46AM CST,HGH,11:42AM CST,Completed
B-658Q,21-Feb-2026,WUH,09:41PM CST,PEK,11:33PM CST,Completed
B-658Q,21-Feb-2026,PEK,06:19PM CST,WUH,08:29PM CST,Completed
B-658Q,21-Feb-2026,HKG,01:03PM HKT,PEK,04:08PM CST,Completed
B-658Q,21-Feb-2026,PEK,08:30AM CST,HKG,11:50AM HKT,Completed
B-658R,21-Feb-2026,HGH,06:57PM CST,PEK,09:17PM CST,Completed
B-658R,21-Feb-2026,PEK,03:44PM CST,HGH,05:40PM CST,Completed
B-658R,21-Feb-2026,CKG,12:03PM CST,PEK,02:26PM CST,Completed
B-658R,21-Feb-2026,PEK,08:00AM CST,CKG,10:31AM CST,Completed
B-658N,21-Feb-2026,PKX,07:13PM CST,CSX,09:54PM CST,Completed
B-658N,21-Feb-2026,CSX,02:58PM CST,PKX,05:12PM CST,Completed
B-658N,21-Feb-2026,PKX,11:09AM CST,CSX,01:34PM CST,Completed
B-658N,21-Feb-2026,CSX,07:28AM CST,PKX,10:03AM CST,Completed
B-658P,21-Feb-2026,CAN,03:43PM CST,NKG,05:58PM CST,Completed
B-658P,21-Feb-2026,NKG,11:28AM CST,CAN,01:49PM CST,Completed
B-658P,21-Feb-2026,CAN,08:11AM CST,NKG,10:37AM CST,Completed
B-658X,21-Feb-2026,HGH,08:26PM CST,CAN,10:52PM CST,Completed
B-658X,21-Feb-2026,CAN,05:05PM CST,HGH,07:15PM CST,Completed
B-658X,21-Feb-2026,CSX,08:03AM CST,CAN,09:33AM CST,Completed
B-658W,21-Feb-2026,PKX,07:40PM CST,CAN,11:11PM CST,Completed
B-658W,21-Feb-2026,CAN,03:19PM CST,PKX,06:17PM CST,Completed
